timestamp,symbol,timeframe,direction,confidence_label,confidence_pct,confidence_display,score,patterns,divergences,trend,price,duration_candles,duration_minutes,mtf_ok
2025-11-14 16:28:45,BTCUSDT,3m,CALL,MEDIA,0.7,MEDIA (70%),4,,,LATERAL,97122.26,2,6,True
2025-11-14 16:28:45,BTCUSDT,5m,CALL,MEDIA,0.7,MEDIA (70%),4,,,LATERAL,97122.26,4,20,True
2025-11-14 16:28:46,EURUSD,3m,PUT,MEDIA,0.7,MEDIA (70%),5,Bullish Engulfing,Divergencia MACD Bajista,LATERAL,1.087852,10,30,True
2025-11-14 16:28:46,EURUSD,5m,PUT,BAJA,0.5,BAJA (50%),3,,,LATERAL,1.088755,10,50,True
2025-11-14 16:28:47,ETHUSDT,3m,CALL,MEDIA,0.7,MEDIA (70%),5,,,LATERAL,3244.75,1,3,True
2025-11-14 16:28:47,ETHUSDT,5m,CALL,MEDIA,0.7,MEDIA (70%),5,,,LATERAL,3244.42,2,10,True
2025-11-14 16:29:10,BTCUSDT,3m,CALL,BAJA,0.5,BAJA (50%),3,,,LATERAL,97056.89,2,6,True
2025-11-14 16:29:10,BTCUSDT,5m,CALL,MEDIA,0.7,MEDIA (70%),4,,,LATERAL,97056.89,4,20,True
2025-11-14 16:29:11,ETHUSDT,3m,CALL,MEDIA,0.7,MEDIA (70%),4,,,LATERAL,3238.99,2,6,True
2025-11-14 16:29:12,ETHUSDT,5m,CALL,MEDIA,0.7,MEDIA (70%),5,,,LATERAL,3239.0,3,15,True
2025-11-14 16:30:15,EURUSD,3m,CALL,BAJA,0.5,BAJA (50%),3,Shooting Star|Bullish Engulfing,,LATERAL,1.077616,9,27,True
2025-11-14 16:30:15,EURUSD,5m,CALL,MEDIA,0.7,MEDIA (70%),4,Bullish Engulfing,Divergencia MACD Alcista,LATERAL,1.073553,10,50,True
2025-11-14 16:30:36,SOLUSDT,3m,PUT,MEDIA,0.7,MEDIA (70%),4,Bearish Engulfing,,LATERAL,29063.533235,3,9,True
2025-11-14 16:30:36,SOLUSDT,5m,PUT,MEDIA,0.7,MEDIA (70%),4,,,LATERAL,28570.806405,2,10,True
2025-11-14 16:30:36,GBPJPY,3m,CALL,MEDIA,0.7,MEDIA (70%),4,Bearish Engulfing,,LATERAL,161.196415,3,9,True
2025-11-14 16:30:36,GBPJPY,5m,CALL,MEDIA,0.7,MEDIA (70%),4,,Divergencia MACD Alcista,LATERAL,160.132177,10,50,True
2025-11-14 16:30:56,BTCUSDT,3m,CALL,BAJA,0.5,BAJA (50%),3,Bearish Engulfing,,LATERAL,29380.72055,3,9,True
2025-11-14 16:30:56,BTCUSDT,5m,CALL,BAJA,0.5,BAJA (50%),3,,,LATERAL,29297.52791,5,25,True
2025-11-14 16:30:56,SOLUSDT,3m,CALL,BAJA,0.5,BAJA (50%),3,Bullish Engulfing,,LATERAL,29942.415811,5,15,True
2025-11-14 16:30:56,SOLUSDT,5m,CALL,BAJA,0.5,BAJA (50%),3,Bullish Engulfing,,LATERAL,30989.647832,2,10,True
2025-11-14 16:30:56,GBPJPY,3m,PUT,MEDIA,0.7,MEDIA (70%),4,,,LATERAL,159.80289,5,15,True
2025-11-14 16:30:56,GBPJPY,5m,PUT,MEDIA,0.7,MEDIA (70%),4,Bullish Engulfing,,LATERAL,161.275756,8,40,True
2025-11-14 16:31:16,BTCUSDT,3m,CALL,MEDIA,0.7,MEDIA (70%),5,,Divergencia MACD Alcista,LATERAL,31355.797929,8,24,True
2025-11-14 16:31:16,BTCUSDT,5m,CALL,MEDIA,0.7,MEDIA (70%),4,,,LATERAL,29011.997165,9,45,True
2025-11-14 16:31:16,SOLUSDT,3m,CALL,MEDIA,0.7,MEDIA (70%),4,Bearish Engulfing,,LATERAL,30926.634513,5,15,True
